tf,gene,label
Pou5f1,Pacsin1,1
Pou5f1,Gnptab,1
Pou5f1,Slc6a6,1
Pou5f1,Med12l,1
Pou5f1,Akap1,1
Pou5f1,Ccdc8,1
Pou5f1,Zfp503,1
Pou5f1,Hoxc6,1
Pou5f1,Trim2,1
Pou5f1,Usp25,1
Pou5f1,Isx,1
Pou5f1,Egfl7,1
Pou5f1,Raly,1
Pou5f1,Pstpip2,1
Pou5f1,Sfrp1,1
Pou5f1,Cstad,1
Pou5f1,Slc35f4,1
Pou5f1,Tpm4,1
Pou5f1,Rgma,1
Pou5f1,Rbbp7,1
Pou5f1,Lrfn1,1
Pou5f1,Ptprf,1
Pou5f1,Mef2c,1
Pou5f1,Psd3,1
Pou5f1,Pkdcc,1
Pou5f1,Slc9a7,1
Pou5f1,Dab2,1
Pou5f1,Zbtb10,1
Pou5f1,Wnt4,1
Pou5f1,Mn1,1
Pou5f1,Hdlbp,1
Pou5f1,Unc13a,1
Pou5f1,Fmnl2,1
Pou5f1,Hnf1a,1
Pou5f1,Camk2a,1
Pou5f1,Ivns1abp,1
Pou5f1,Mras,1
Pou5f1,Taf15,1
Pou5f1,Phkg1,1
Pou5f1,Fbxl19,1
Pou5f1,Gria3,1
Pou5f1,Ssbp3,1
Pou5f1,Rtn4,1
Pou5f1,Marcksl1,1
Pou5f1,Cnnm2,1
Pou5f1,Egfl6,1
Pou5f1,Efna1,1
Pou5f1,Elavl4,1
Pou5f1,Ptprd,1
Pou5f1,Ing3,1
Pou5f1,Dpysl2,1
Pou5f1,Acsf2,1
Pou5f1,Osm,1
Pou5f1,Itga10,1
Pou5f1,Schip1,1
Pou5f1,Klf2,1
Pou5f1,Aldh7a1,1
Pou5f1,Sel1l3,1
Pou5f1,Kcnip2,1
Pou5f1,Frat1,1
Pou5f1,Ttc7b,1
Pou5f1,Smtnl1,1
Pou5f1,Gpc3,1
Pou5f1,Egr1,1
Pou5f1,Sipa1l1,1
Pou5f1,Setd1a,1
Pou5f1,Mafg,1
Pou5f1,Zcchc24,1
Pou5f1,Snph,1
Pou5f1,Smyd1,1
Pou5f1,Junb,1
Pou5f1,Scn1a,1
Pou5f1,Ubqln4,1
Pou5f1,Gja1,1
Pou5f1,Podn,1
Pou5f1,Csnk1g2,1
Pou5f1,Sort1,1
Pou5f1,Maf,1
Pou5f1,Hspd1,1
Pou5f1,Ranbp9,1
Pou5f1,Pdp1,1
Pou5f1,Stim2,1
Pou5f1,Chd7,1
Pou5f1,Gnl3,1
Pou5f1,Ephb1,1
Pou5f1,Alx1,1
Pou5f1,Pdgfb,1
Pou5f1,Otud1,1
Pou5f1,Parp8,1
Pou5f1,Chn2,1
Pou5f1,Hspbap1,1
Pou5f1,Adnp,1
Pou5f1,Ranbp17,1
Pou5f1,Pparg,1
Pou5f1,Cdx1,1
Pou5f1,Galnt3,1
Pou5f1,Ebf1,1
Pou5f1,Zmiz1,1
Pou5f1,Arid1a,1
Pou5f1,Morc2a,1
Pou5f1,Mitf,1
Pou5f1,Cntn1,1
Pou5f1,Pea15a,1
Pou5f1,Got1,1
Pou5f1,Sumo2,1
Pou5f1,Csk,1
Pou5f1,Prrx2,1
Pou5f1,Ccdc141,1
Pou5f1,Pim1,1
Pou5f1,Csrp1,1
Pou5f1,Tnrc18,1
Pou5f1,Casq1,1
Pou5f1,Heg1,1
Pou5f1,Vat1l,1
Pou5f1,Hoxb9,1
Pou5f1,Fam131b,1
Pou5f1,Prpf3,1
Pou5f1,Timp3,1
Pou5f1,Rims2,1
Pou5f1,Kirrel2,1
Pou5f1,Hnrnpa3,1
Pou5f1,Bptf,1
Pou5f1,Shox2,1
Pou5f1,Celf4,1
Pou5f1,Mbnl1,1
Pou5f1,Hand2,1
Pou5f1,Sertad2,1
Pou5f1,Itpr1,1
Pou5f1,Gdpd5,1
Pou5f1,Hist2h2be,1
Pou5f1,Ypel5,1
Pou5f1,Zfp608,1
Pou5f1,Gli3,1
Pou5f1,Zfx,1
Pou5f1,Nab2,0
Pou5f1,Adra2a,1
Pou5f1,Anp32e,1
Pou5f1,Lmo2,1
Pou5f1,Trim36,1
Pou5f1,Triobp,1
Pou5f1,Tll1,1
Pou5f1,Msl1,1
Pou5f1,Dkk1,1
Pou5f1,Dlgap4,1
Pou5f1,Pde10a,1
Pou5f1,Elf5,1
Pou5f1,9130024F11Rik,1
Pou5f1,Spsb4,1
Pou5f1,Tsc22d1,1
Pou5f1,Tuba1a,1
Pou5f1,Pdzk1,1
Pou5f1,Dynll2,1
Pou5f1,Rgag4,1
Pou5f1,Nutf2,1
Pou5f1,Nbl1,1
Pou5f1,Arpc1b,1
Pou5f1,AI837181,1
Pou5f1,D630039A03Rik,1
Pou5f1,Lsm12,1
Pou5f1,Bend5,1
Pou5f1,Eif2s2,1
Pou5f1,Sfmbt1,1
Pou5f1,Ltbp1,1
Pou5f1,Prg4,1
Pou5f1,Id2,1
Pou5f1,Ppp2r3a,1
Pou5f1,Brd3,1
Pou5f1,Adamts1,1
Pou5f1,Dyrk2,1
Pou5f1,Flt1,1
Pou5f1,Dgkz,1
Pou5f1,Rapgef4,1
Pou5f1,Hlf,1
Pou5f1,Srf,1
Pou5f1,Eln,1
Pou5f1,Id3,1
Pou5f1,Mier1,1
Pou5f1,Dll1,1
Pou5f1,Csf3r,1
Pou5f1,Pkp4,1
Pou5f1,Itpr3,1
Pou5f1,Kcnt2,1
Pou5f1,Slc4a3,1
Pou5f1,Slc25a12,1
Pou5f1,Habp2,1
Pou5f1,Elovl5,1
Pou5f1,Ntng1,1
Pou5f1,Sorcs1,1
Pou5f1,Sfn,1
Pou5f1,B230319C09Rik,1
Pou5f1,Fam46a,1
Pou5f1,Speg,1
Pou5f1,Pcbp4,1
Pou5f1,Hrh2,1
Pou5f1,Adora1,1
Pou5f1,Jam2,1
Pou5f1,Esr1,1
Pou5f1,Zfp516,1
Pou5f1,Ptp4a2,1
Pou5f1,Myh10,1
Pou5f1,Tex14,1
Pou5f1,Rnf26,1
Pou5f1,2810403D21Rik,1
Pou5f1,Tmeff1,1
Pou5f1,Ism1,1
Pou5f1,Pls3,1
Pou5f1,Ptgs2,1
Pou5f1,Zfand3,1
Pou5f1,Map3k3,1
Pou5f1,Homer2,1
Pou5f1,Dlg1,1
Pou5f1,Actn1,1
Pou5f1,Traf3,1
Pou5f1,Fhod1,1
Pou5f1,Pou5f1,1
Pou5f1,Traf4,1
Pou5f1,Copz2,1
Pou5f1,Nos1ap,1
Pou5f1,Fhl1,1
Pou5f1,Ets1,1
Pou5f1,Lrrn2,1
Pou5f1,Pmepa1,1
Pou5f1,Dbndd2,1
Pou5f1,2610203C20Rik,1
Pou5f1,Adamts14,1
Pou5f1,Ssbp2,1
Pou5f1,Rap1b,1
Pou5f1,Ctbp2,1
Pou5f1,Bcl3,1
Pou5f1,Klhl24,1
Pou5f1,Chpf,1
Pou5f1,Brd4,1
Pou5f1,Tnks,1
Pou5f1,Zbtb12,1
Pou5f1,Samd4,1
Pou5f1,Tspan14,1
Pou5f1,Rhbdf1,1
Pou5f1,Mtf2,1
Pou5f1,Dpf3,1
Pou5f1,Pdzd2,1
Pou5f1,Dnmt3a,1
Pou5f1,Casz1,1
Pou5f1,Mks1,1
Pou5f1,Gngt2,1
Pou5f1,Loxl4,1
Pou5f1,Ror2,1
Pou5f1,Shmt1,1
Pou5f1,Ube4b,1
Pou5f1,Atmin,1
Pou5f1,Rap1gds1,1
Pou5f1,Fut9,1
Pou5f1,Epha2,1
Pou5f1,Inpp5a,1
Pou5f1,Dab1,1
Pou5f1,Agpat4,1
Pou5f1,Slc20a2,1
Pou5f1,Bmp1,1
Pou5f1,Sorbs1,1
Pou5f1,Flnc,1
Pou5f1,Col4a1,1
Pou5f1,Dsp,1
Pou5f1,Gna14,1
Pou5f1,Sypl2,1
Pou5f1,Mast1,1
Pou5f1,Rcan1,1
Pou5f1,Atp1a1,1
Pou5f1,Ccne2,1
Pou5f1,Tagln2,1
Pou5f1,Cpsf4l,1
Pou5f1,Gap43,1
Pou5f1,Gabbr1,1
Pou5f1,Chtf8,1
Pou5f1,Hspe1,1
Pou5f1,Srsf1,1
Pou5f1,Shf,1
Pou5f1,Sync,1
Pou5f1,Eif4ebp1,1
Pou5f1,Fzd7,1
Pou5f1,Ppp3cb,1
Pou5f1,Tax1bp3,1
Pou5f1,Kpna2,1
Pou5f1,Elavl3,1
Pou5f1,Nr5a2,1
Pou5f1,Iffo2,1
Pou5f1,Cabp1,1
Pou5f1,Nptxr,1
Pou5f1,Bahcc1,1
Pou5f1,Efnb1,1
Pou5f1,Foxc2,1
Pou5f1,Zc3h12a,1
Pou5f1,Scd2,1
Pou5f1,Ildr2,1
Pou5f1,Nrp2,1
Pou5f1,Ric8b,1
Pou5f1,Flrt1,1
Pou5f1,Sppl3,1
Pou5f1,Creb3,1
Pou5f1,Itga3,1
Pou5f1,Mafb,1
Pou5f1,Ptprj,1
Pou5f1,St8sia6,1
Pou5f1,Zfp644,1
Pou5f1,Anxa9,1
Pou5f1,Nav1,1
Pou5f1,Gfod1,1
Pou5f1,Pogk,1
Pou5f1,Tmem200a,1
Pou5f1,Ptpru,1
Pou5f1,Adcyap1r1,1
Pou5f1,Cldn11,1
Pou5f1,Tcf15,1
Pou5f1,Gjb1,1
Pou5f1,Rnd3,1
Pou5f1,Lingo2,1
Pou5f1,Chsy1,1
Pou5f1,Glud1,1
Pou5f1,Zfp710,1
Pou5f1,Ahnak,1
Pou5f1,Acvr1,1
Pou5f1,Grid1,1
Pou5f1,4930515G01Rik,1
Pou5f1,Vcp,1
Pou5f1,Srsf2,1
Pou5f1,Mmp14,1
Pou5f1,Fam3c,1
Pou5f1,Cnksr2,1
Pou5f1,Uchl5,1
Pou5f1,Kat2a,1
Pou5f1,Cxxc4,1
Pou5f1,Auts2,0
Pou5f1,Lhx9,1
Pou5f1,Tcfl5,1
Pou5f1,Arhgap6,1
Pou5f1,Isl1,1
Pou5f1,Zmym3,1
Pou5f1,Agap3,1
Pou5f1,Rab2a,1
Pou5f1,Slc7a3,1
Pou5f1,Fam83h,1
Pou5f1,Tyro3,1
Pou5f1,Ifng,1
Pou5f1,Tbx20,1
Pou5f1,Coch,1
Pou5f1,Arhgap29,1
Pou5f1,Fgf9,1
Pou5f1,Glra2,1
Pou5f1,Dhrs3,1
Pou5f1,Dusp3,1
Pou5f1,Tac1,0
Pou5f1,Scn3a,1
Pou5f1,Nlk,1
Pou5f1,Spns3,1
Pou5f1,Rorc,1
Pou5f1,Uck2,1
Pou5f1,Anp32b,1
Pou5f1,Hoxd3,1
Pou5f1,Sema3c,1
Pou5f1,Vars2,1
Pou5f1,Srsf10,1
Pou5f1,Rasgrf2,1
Pou5f1,Fbxo11,1
Pou5f1,Fgf20,1
Pou5f1,Cnpy1,1
Pou5f1,Qars,1
Pou5f1,Acsl4,1
Pou5f1,Prnp,1
Pou5f1,Crb3,1
Pou5f1,Rspo3,1
Pou5f1,Nasp,1
Pou5f1,St6galnac3,1
Pou5f1,Gnas,1
Pou5f1,Ppm1a,1
Pou5f1,Notch4,1
Pou5f1,Cbfa2t3,1
Pou5f1,Slc35f1,1
Pou5f1,Fzd8,1
Pou5f1,Usp42,1
Pou5f1,1700025G04Rik,1
Pou5f1,Srr,1
Pou5f1,Phox2a,1
Pou5f1,Zfp146,0
Pou5f1,Kcnq2,1
Pou5f1,Ppp2r2c,1
Pou5f1,Ubr5,1
Pou5f1,En2,1
Pou5f1,Hnf4a,1
Pou5f1,Nedd9,1
Pou5f1,Prrt3,1
Pou5f1,Cnn2,1
Pou5f1,Col4a5,1
Pou5f1,Lrrc41,1
Pou5f1,Wnt3,1
Pou5f1,Igdcc3,1
Pou5f1,Prune2,1
Pou5f1,Sncb,1
Pou5f1,Samd5,1
Pou5f1,Appl1,1
Pou5f1,Kdm3a,1
Pou5f1,Mybl2,1
Pou5f1,Eif4g1,1
Pou5f1,Spats2l,1
Pou5f1,Meis1,1
Pou5f1,Rcor1,1
Pou5f1,Vav3,1
Pou5f1,Ltbp4,1
Pou5f1,Map4k4,1
Pou5f1,Sox11,1
Pou5f1,Kctd10,1
Pou5f1,Zbtb2,1
Pou5f1,Dusp5,1
Pou5f1,S100pbp,1
Pou5f1,Flot2,1
Pou5f1,Phc2,1
Pou5f1,Jph1,1
Pou5f1,Pfkfb3,1
Pou5f1,Ino80,1
Pou5f1,Otx2,1
Pou5f1,Ddx21,1
Pou5f1,3425401B19Rik,1
Pou5f1,Mal2,1
Pou5f1,Pip4k2b,1
Pou5f1,Ptprb,1
Pou5f1,Pitpnc1,1
Pou5f1,Ddx17,1
Pou5f1,Dpysl3,1
Pou5f1,Irx5,1
Pou5f1,Klhdc3,1
Pou5f1,Xkr4,1
Pou5f1,Gprc5c,1
Pou5f1,Cpne5,1
Pou5f1,Gadd45g,1
Pou5f1,2900041M22Rik,1
Pou5f1,Enah,1
Pou5f1,Nrxn3,1
Pou5f1,Acsl3,1
Pou5f1,Slitrk5,1
Pou5f1,Odf2,1
Pou5f1,Mcf2,1
Pou5f1,Txnip,1
Pou5f1,Hipk2,1
Pou5f1,Kdm4c,1
Pou5f1,Frmd4b,1
Pou5f1,Amfr,1
Pou5f1,Lgr5,1
Pou5f1,Atxn1l,1
Pou5f1,Rcan2,1
Pou5f1,Etv5,1
Pou5f1,Plec,1
Pou5f1,Anp32a,1
Pou5f1,Spib,1
Pou5f1,Zmynd8,1
Pou5f1,Spred1,1
Pou5f1,Cmtm4,1
Pou5f1,Wtip,1
Pou5f1,Ubox5,1
Pou5f1,Foxd1,1
Pou5f1,Nuak1,1
Pou5f1,Brsk1,1
Pou5f1,Pdgfa,1
Pou5f1,Yes1,1
Pou5f1,Nos3,1
Pou5f1,Adamts5,1
Pou5f1,Dennd2a,1
Pou5f1,Rims1,0
Pou5f1,Plekha2,1
Pou5f1,Fkbp10,1
Pou5f1,Rras,1
Pou5f1,C77370,1
Pou5f1,Nfkbiz,1
Pou5f1,Enox1,1
Pou5f1,Zdhhc2,1
Pou5f1,Fam57b,1
Pou5f1,Zfp36l1,1
Pou5f1,Slc9a2,1
Pou5f1,Map3k12,1
Pou5f1,Bcl7c,1
Pou5f1,Flii,1
Pou5f1,Foxred1,1
Pou5f1,Rnf38,1
Pou5f1,Usp7,1
Pou5f1,Pou3f1,1
Pou5f1,Cdc42bpb,1
Pou5f1,Capn2,1
Pou5f1,Chst15,1
Pou5f1,Dner,1
Pou5f1,Tbcc,1
Pou5f1,Caskin1,1
Pou5f1,Fjx1,1
Pou5f1,Il1rapl1,0
Pou5f1,Atf5,1
Pou5f1,G3bp2,1
Pou5f1,Foxc1,1
Pou5f1,Jph4,1
Pou5f1,Hnrnpl,1
Pou5f1,Bsn,1
Pou5f1,Sik1,1
Pou5f1,Fzd5,1
Pou5f1,Prox1,1
Pou5f1,Kcnc1,1
Pou5f1,Rhobtb1,1
Pou5f1,Jun,1
Pou5f1,Grip1,1
Pou5f1,St8sia2,1
Pou5f1,Pax6,1
Pou5f1,Ttc9b,1
Pou5f1,Camk2b,1
Pou5f1,Astn2,1
Pou5f1,Tro,1
Pou5f1,Aplp2,1
Pou5f1,Hdgf,1
Pou5f1,Sim2,1
Pou5f1,Pipox,1
Pou5f1,Pde2a,1
Pou5f1,Tead1,1
Pou5f1,Hs3st3b1,1
Pou5f1,Trp63,1
Pou5f1,Lypla2,1
Pou5f1,Sdc3,1
Pou5f1,Fst,1
Pou5f1,Bbx,1
Pou5f1,Kank4,1
Pou5f1,Wt1,1
Pou5f1,Ppp3ca,1
Pou5f1,Eef1d,1
Pou5f1,Nkx2-9,1
Pou5f1,Ogdhl,1
Pou5f1,Cited2,1
Pou5f1,Ube2e3,1
Pou5f1,Itpka,1
Pou5f1,D16Ertd472e,1
Pou5f1,Zfp513,1
Pou5f1,Lpar4,1
Pou5f1,Cadm3,1
Pou5f1,Nol4,1
Pou5f1,Igf2bp1,1
Pou5f1,Emx2,1
Pou5f1,Tead3,1
Pou5f1,Fam53b,1
Pou5f1,Ascc2,1
Pou5f1,Vegfc,1
Pou5f1,Slc1a2,1
Pou5f1,Rassf1,1
Pou5f1,Usp2,1
Pou5f1,Rnf19b,1
Pou5f1,Col1a1,1
Pou5f1,Ptprm,1
Pou5f1,Glod5,1
Pou5f1,Tgfb1i1,1
Pou5f1,Srpr,1
Pou5f1,Ilf3,1
Pou5f1,Runx1t1,1
Pou5f1,Sgsm2,1
Pou5f1,Rab22a,1
Pou5f1,Anks1b,1
Pou5f1,Slc17a6,1
Pou5f1,Lrp8,1
Pou5f1,Trh,1
Pou5f1,Phactr1,1
Pou5f1,Vsx2,1
Pou5f1,Glis3,1
Pou5f1,Btg1,1
Pou5f1,Gsc,1
Pou5f1,Igf1r,1
Pou5f1,Smad3,1
Pou5f1,Nt5c2,1
Pou5f1,Nr2f1,1
Pou5f1,Tac2,1
Pou5f1,Lef1,1
Pou5f1,Zic3,1
Pou5f1,Npy,1
Pou5f1,Camk2n1,1
Pou5f1,Ubr3,1
Pou5f1,Ccdc80,1
Pou5f1,Bnc2,1
Pou5f1,Clstn2,1
Pou5f1,Per1,1
Pou5f1,Gnai2,1
Pou5f1,Gata6,1
Pou5f1,Gprc5b,1
Pou5f1,Capn6,1
Pou5f1,Ldha,1
Pou5f1,Sez6,1
Pou5f1,Gbx2,1
Pou5f1,Pum1,1
Pou5f1,Tdgf1,1
Pou5f1,Dap3,1
Pou5f1,Colec12,1
Pou5f1,Rspo2,1
Pou5f1,Esrrb,1
Pou5f1,Hhex,1
Pou5f1,Atf3,1
Pou5f1,Bcl9l,1
Pou5f1,Fam84b,1
Pou5f1,AI314180,1
Pou5f1,Frs3,1
Pou5f1,Klf6,1
Pou5f1,Srm,1
Pou5f1,Lasp1,1
Pou5f1,Chac1,1
Pou5f1,Irx3,1
Pou5f1,Hmgn5,1
Pou5f1,Prtg,1
Pou5f1,Gad1,1
Pou5f1,Rab1b,1
Pou5f1,Mtch2,1
Pou5f1,Lrrc4,1
Pou5f1,Efemp2,1
Pou5f1,Rbm39,1
Pou5f1,Wnt9a,1
Pou5f1,Parm1,1
Pou5f1,Aspscr1,1
Pou5f1,Tbx3,1
Pou5f1,Neurl1a,1
Pou5f1,Dyrk1a,1
Pou5f1,Lif,1
Pou5f1,Fgf18,1
Pou5f1,Pitx1,1
Pou5f1,Fam102b,1
Pou5f1,Slco5a1,1
Pou5f1,Mrc2,1
Pou5f1,Sall4,1
Pou5f1,Unc80,1
Pou5f1,Ckb,1
Pou5f1,Igfbp5,1
Pou5f1,Trib2,1
Pou5f1,Kcnn2,1
Pou5f1,Hivep2,1
Pou5f1,Rora,1
Pou5f1,Arl8a,1
Pou5f1,Ccnd3,1
Pou5f1,Pcdh7,1
Pou5f1,Elovl6,1
Pou5f1,Ywhag,1
Pou5f1,Hs6st2,1
Pou5f1,Col13a1,1
Pou5f1,Gata2,1
Pou5f1,Purb,1
Pou5f1,Ergic1,1
Pou5f1,Ptch2,1
Pou5f1,Hoxa2,1
Pou5f1,Shb,1
Pou5f1,Lctl,1
Pou5f1,Prpf19,1
Pou5f1,Megf11,1
Pou5f1,Mfsd6,1
Pou5f1,Nebl,1
Pou5f1,Cd63,1
Pou5f1,Sema3b,1
Pou5f1,Cyld,1
Pou5f1,Srsf12,1
Pou5f1,Zyx,1
Pou5f1,Lypd6,1
Pou5f1,Dusp4,1
Pou5f1,Krt17,1
Pou5f1,Cdh17,1
Pou5f1,Erbb3,1
Pou5f1,Asxl1,1
Pou5f1,Ube2v1,1
Pou5f1,Kirrel,1
Pou5f1,Lrp2,1
Pou5f1,H19,1
Pou5f1,Etv1,1
Pou5f1,Hdac7,1
Pou5f1,Nrg1,0
Pou5f1,Fosl2,1
Pou5f1,Aspa,1
Pou5f1,Cacna1a,1
Pou5f1,Mobp,1
Pou5f1,Smad2,1
Pou5f1,En1,1
Pou5f1,Ctdspl,1
Pou5f1,Phldb1,1
Pou5f1,Ndst1,1
Pou5f1,Etohd2,1
Pou5f1,Ckmt1,1
Pou5f1,Per2,1
Pou5f1,Setbp1,1
Pou5f1,Pum2,1
Pou5f1,Nck2,1
Pou5f1,Gramd1a,1
Pou5f1,Dio3,1
Pou5f1,Slc22a15,1
Pou5f1,Atxn10,1
Pou5f1,Mgat3,1
Pou5f1,S1pr1,1
Pou5f1,Sox12,1
Pou5f1,Krt8,1
Pou5f1,Celf2,1
Pou5f1,Jazf1,1
Pou5f1,Ccdc129,1
Pou5f1,Pabpc1,1
Pou5f1,Pgbd5,1
Pou5f1,Setd5,1
Pou5f1,Npr3,1
Pou5f1,Zbtb38,1
Pou5f1,Ttc36,1
Pou5f1,Fam81a,1
Pou5f1,Fibin,1
Pou5f1,Zfp292,1
Pou5f1,Itgb6,1
Pou5f1,Tbx15,1
Pou5f1,Ptms,1
Pou5f1,Rbms1,1
Pou5f1,Ctnnd1,1
Pou5f1,Vgll3,1
Pou5f1,AI661453,1
Pou5f1,Klf9,1
Pou5f1,Sulf1,1
Pou5f1,Bud13,1
Pou5f1,Stx11,1
Pou5f1,Nle1,1
Pou5f1,Pex1,1
Pou5f1,Hsp90ab1,1
Pou5f1,Utp14b,1
Pou5f1,Mov10,1
Pou5f1,Adamtsl1,1
Pou5f1,Smarcd3,1
Pou5f1,Clcn3,1
Pou5f1,Prelp,1
Pou5f1,Six3,1
Pou5f1,Rin1,1
Pou5f1,Foxo4,1
Pou5f1,Lhfp,1
Pou5f1,Pvt1,1
Pou5f1,Snai1,1
Pou5f1,Prrx1,1
Pou5f1,Ankrd34a,1
Pou5f1,Tcea3,1
Pou5f1,Foxj2,1
Pou5f1,Gpbp1,1
Pou5f1,Ube2d3,1
Pou5f1,Foxk1,1
Pou5f1,Ildr1,1
Pou5f1,Dbn1,1
Pou5f1,Mbp,1
Pou5f1,Cited1,1
Pou5f1,Maml3,1
Pou5f1,Plcd1,1
Pou5f1,Nfatc1,1
Pou5f1,Adm,1
Pou5f1,Ap1s1,1
Pou5f1,Lax1,1
Pou5f1,Sh3gl2,1
Pou5f1,Ezh2,1
Pou5f1,Tcerg1l,1
Pou5f1,Tpm1,1
Pou5f1,Eif5a,1
Pou5f1,Cdkn1c,1
Pou5f1,Trpc4,1
Pou5f1,Pitpna,1
Pou5f1,Fgfr1,1
Pou5f1,Zfp423,1
Pou5f1,St3gal1,1
Pou5f1,Nr6a1,1
Pou5f1,Tmprss5,1
Pou5f1,Frmd4a,1
Pou5f1,Sh2d4a,1
Pou5f1,Mtus1,1
Pou5f1,Ramp2,1
Pou5f1,Cenpb,1
Pou5f1,Klf5,1
Pou5f1,Plbd1,1
Pou5f1,Ppp2r5c,1
Pou5f1,Ndrg1,1
Pou5f1,Pik3c2b,1
Pou5f1,Lrriq4,1
Pou5f1,Tmpo,1
Pou5f1,Foxf2,1
Pou5f1,Sirt1,1
Pou5f1,Dlx3,1
Pou5f1,Tmeff2,1
Pou5f1,Xkr5,1
Pou5f1,Klf7,1
Pou5f1,Nostrin,1
Pou5f1,Gata3,1
Pou5f1,Zfp62,1
Pou5f1,Bmp4,1
Pou5f1,Arl4a,1
Pou5f1,Kctd15,1
Pou5f1,Skil,1
Pou5f1,Chmp4b,1
Pou5f1,Spata6,1
Pou5f1,Pip4k2a,1
Pou5f1,Shoc2,1
Pou5f1,Epha7,1
Pou5f1,Dido1,1
Pou5f1,Nsg2,1
Pou5f1,Kat2b,1
Pou5f1,Rab11fip5,1
Pou5f1,Prkar1b,1
Pou5f1,Fbxo36,1
Pou5f1,Fancd2,1
Pou5f1,Mapre1,1
Pou5f1,Cacnb2,1
Pou5f1,Pdk1,1
Pou5f1,Khdrbs1,1
Pou5f1,Tm9sf3,1
Pou5f1,Rai14,1
Pou5f1,Kcnb1,1
Pou5f1,Prkaca,1
Pou5f1,Gdf5,1
Pou5f1,Rarb,1
Pou5f1,Insm1,1
Pou5f1,H1f0,0
Pou5f1,Irs1,1
Pou5f1,Phlda3,1
Pou5f1,Sgcz,1
Pou5f1,Tmem25,1
Pou5f1,Nr0b1,1
Pou5f1,Lrrc8c,1
Pou5f1,Ehf,1
Pou5f1,Mmd,1
Pou5f1,Slc22a23,1
Pou5f1,Gli2,1
Pou5f1,Rbpms2,1
Pou5f1,Cplx2,1
Pou5f1,Sox7,1
Pou5f1,Ndufa4l2,1
Pou5f1,Acta1,1
Pou5f1,Ptpn14,1
Pou5f1,Igfbp4,1
Pou5f1,Pde4b,1
Pou5f1,Cdh10,1
Pou5f1,Mmgt2,1
Pou5f1,Sgk1,1
Pou5f1,Rfx4,1
Pou5f1,Ddc,1
Pou5f1,Plekha1,1
Pou5f1,Hoxd8,1
Pou5f1,Fzd10,1
Pou5f1,Rnf11,1
Pou5f1,Elavl2,1
Pou5f1,Ccdc64,0
Pou5f1,Sox2,1
Pou5f1,Fbxo43,1
Pou5f1,Dnajc11,1
Pou5f1,Klf13,1
Pou5f1,Cdca2,1
Pou5f1,Eomes,1
Pou5f1,Nrk,1
Pou5f1,Chst11,1
Pou5f1,Kif21b,1
Pou5f1,1810043G02Rik,1
Pou5f1,Nphs1,1
Pou5f1,Glipr2,1
Pou5f1,Mapk6,1
Pou5f1,Dlx6,1
Pou5f1,Hes7,1
Pou5f1,Cxcl14,1
Pou5f1,Dlx1as,1
Pou5f1,Msx2,1
Pou5f1,Cdk4,1
Nfe2l1,Cdh11,0
Nfe2l1,Kcnh3,0
Nfe2l1,Irs2,0
Nfe2l1,Hoxc5,0
Nfe2l1,Marcks,1
Nfe2l1,Gli1,0
Nfe2l1,Liph,0
Nfe2l1,Smarca2,1
Nfe2l1,Stmn2,1
Nfe2l1,Arfgef1,1
Nfe2l1,Tnfsf15,0
Nfe2l1,Gdf6,0
Nfe2l1,Sms,0
Nfe2l1,Tuft1,0
Nfe2l1,Naa25,1
Nfe2l1,Foxp1,1
Nfe2l1,Pknox2,1
Nfe2l1,D930048N14Rik,0
Nfe2l1,Grhl2,0
Nfe2l1,Lhx2,0
Nfe2l1,Ybx1,1
Nfe2l1,Ptchd1,0
Nfe2l1,Sidt2,0
Nfe2l1,Akt3,1
Nfe2l1,Lrtm1,0
Nfe2l1,Nipbl,1
Nfe2l1,Dab2ip,1
Nfe2l1,Zfp503,0
Nfe2l1,Hoxc6,0
Nfe2l1,Apln,0
Nfe2l1,Marcksl1,0
Nfe2l1,Ube2g1,1
Nfe2l1,Fam131b,0
Nfe2l1,Prpf3,0
Nfe2l1,Shox2,0
Nfe2l1,Ypel5,0
Nfe2l1,Anp32e,1
Nfe2l1,Msl1,1
Nfe2l1,Traf3,0
Nfe2l1,Mtf2,0
Nfe2l1,9330182L06Rik,0
Nfe2l1,Bahcc1,0
Nfe2l1,Elovl1,0
Nfe2l1,Acsl4,1
Nfe2l1,Lrrc41,0
Nfe2l1,Wnt3,1
Nfe2l1,Mybl2,0
Nfe2l1,Fgf11,0
Nfe2l1,Pip4k2b,0
Nfe2l1,Etv5,0
Nfe2l1,Chst15,0
Nfe2l1,Vezt,1
Nfe2l1,Pcdh10,0
Nfe2l1,Vegfa,0
Nfe2l1,Gsc,1
Nfe2l1,Smad3,0
Nfe2l1,Tdgf1,0
Nfe2l1,Atf3,1
Nfe2l1,Lypd6,0
Nfe2l1,Prkrir,0
Nfe2l1,Sik3,0
Nfe2l1,Frmd4a,0
Nfe2l1,Plbd1,0
Nfe2l1,Foxf2,0
Nfe2l1,Gata3,1
Nfe2l1,Cav1,0
Nfe2l1,Skil,0
Nfe2l1,Tm9sf3,1
Nfe2l1,Cdca2,0
Rbpj,Cpeb2,0
Rbpj,Ikzf2,0
Rbpj,Smad6,0
Rbpj,Ak4,0
Rbpj,Afp,0
Rbpj,Sumo3,0
Rbpj,Cirh1a,0
Rbpj,Upp1,0
